"","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"1","angrySad","0",0.731166150670795,0.462332301341589,0.721146542193352,0.741011681980766,0.5,0,0.11987862765494,0.7218782249742,0.740454076367389,0.735541535226078,0.726950354609929,0.735541535226078,0.7218782249742,0.728645833333333,0.5,0.3609391124871,0.490712074303406,0.731166150670795,15504,0.731166150670795
"2","angrySad","0",0.73374613003096,0.46749226006192,0.723755696078031,0.743560539385994,0.5,0,0.0262064596741997,0.720588235294118,0.746904024767802,0.740063593004769,0.727752639517345,0.740063593004769,0.720588235294118,0.730196078431372,0.5,0.360294117647059,0.486842105263158,0.73374613003096,15504,0.73374613003096
"3","angrySad","0",0.728844169246646,0.457688338493292,0.718798667026989,0.738717346822009,0.5,0,0.00156338160894308,0.710010319917441,0.747678018575851,0.737801608579088,0.720537046245649,0.737801608579088,0.710010319917441,0.723639232185117,0.5,0.35500515995872,0.481166150670795,0.728844169246646,15504,0.728844169246646
"4","angrySad","0",0.72561919504644,0.451238390092879,0.715538294938705,0.73553020431879,0.5,0,0.0622200130991238,0.714396284829721,0.736842105263158,0.730799683293745,0.720666161998486,0.730799683293745,0.714396284829721,0.722504892367906,0.5,0.357198142414861,0.488777089783282,0.72561919504644,15504,0.72561919504644
"5","angrySad","0",0.731940144478844,0.463880288957688,0.721929243576562,0.741776384004905,0.5,0,0.033346290613129,0.719298245614035,0.744582043343653,0.737956590788777,0.726220432813286,0.737956590788777,0.719298245614035,0.728507969689052,0.5,0.359649122807018,0.487358101135191,0.731940144478844,15504,0.731940144478844
"6","angrySad","0",0.733230134158927,0.466460268317853,0.723233831129085,0.743050802092552,0.5,0,9.932883518051e-05,0.710268317853457,0.756191950464396,0.744456462952948,0.722989639861865,0.744456462952948,0.710268317853457,0.72696065487193,0.5,0.355134158926729,0.47703818369453,0.733230134158927,15504,0.733230134158927
"7","angrySad","0",0.732069143446852,0.464138286893705,0.72205969753154,0.74190383061613,0.5,0,0.000619350633253531,0.711816305469556,0.752321981424149,0.741866093035762,0.723034961567072,0.741866093035762,0.711816305469556,0.726530612244898,0.5,0.355908152734778,0.479747162022704,0.732069143446852,15504,0.732069143446852
"8","angrySad","0",0.734649122807018,0.469298245614035,0.724669001022779,0.744452538346438,0.5,0,0.006256283229244,0.718524251805986,0.75077399380805,0.742468675019995,0.727318170457386,0.742468675019995,0.718524251805986,0.730300249114986,0.5,0.359262125902993,0.483875128998968,0.734649122807018,15504,0.734649122807018
"9","angrySad","0",0.740454076367389,0.480908152734778,0.730541512735997,0.750185551146512,0.5,0,0.0709486875700239,0.729876160990712,0.751031991744066,0.745651027938851,0.735472460838808,0.745651027938851,0.729876160990712,0.73767926988266,0.5,0.364938080495356,0.489422084623323,0.740454076367389,15504,0.740454076367389
"10","angrySad","0",0.72703818369453,0.454076367389061,0.716972778010774,0.736932627702449,0.5,0,0.043203309073754,0.714912280701754,0.739164086687306,0.732681121099947,0.721662468513854,0.732681121099947,0.714912280701754,0.723687646905197,0.5,0.357456140350877,0.487874097007224,0.72703818369453,15504,0.72703818369453
"11","angryHaha","0",0.723065902578797,0.446131805157593,0.712404783855172,0.733540398920078,0.5,4.6125780308508e-315,1.71464152552643e-13,0.676504297994269,0.769627507163324,0.745971563981043,0.704062909567497,0.745971563981043,0.676504297994269,0.70954169797145,0.5,0.338252148997135,0.453438395415473,0.723065902578797,13961,0.723065902578797
"12","angryHaha","0",0.724785100286533,0.449570200573066,0.714143454886096,0.735238681752802,0.5,4.34975394598633e-320,4.99919814426844e-11,0.683381088825215,0.766189111747851,0.745079662605436,0.707594601746494,0.745079662605436,0.683381088825215,0.712897922582574,0.5,0.341690544412607,0.458595988538682,0.724785100286533,13961,0.724785100286533
"13","angryHaha","0",0.718767908309456,0.437535816618911,0.708058949685932,0.729293848031859,0.5,1.07746940176298e-302,9.34345376802868e-12,0.675358166189112,0.762177650429799,0.739566990900533,0.701291853414184,0.739566990900533,0.675358166189112,0.706005691178673,0.5,0.337679083094556,0.456590257879656,0.718767908309456,13961,0.718767908309456
"14","angryHaha","0",0.725501432664756,0.451002865329513,0.71486795847313,0.735946242248138,0.5,3.4090529563046e-322,2.96971794902513e-11,0.683667621776504,0.767335243553009,0.746091307066917,0.708090957165521,0.746091307066917,0.683667621776504,0.713516746411483,0.5,0.341833810888252,0.458166189111748,0.725501432664756,13961,0.725501432664757
"15","angryHaha","0",0.722492836676218,0.444985673352436,0.711825269861387,0.732974261605495,0.5,2.13382934785934e-313,3.22509693037455e-14,0.674498567335244,0.770487106017192,0.746117274167987,0.703006535947712,0.746117274167987,0.674498567335244,0.708502633559067,0.5,0.337249283667622,0.452005730659026,0.722492836676218,13961,0.722492836676218
"16","angryHaha","0",0.723065902578797,0.446131805157593,0.712404783855172,0.733540398920078,0.5,4.6125780308508e-315,1.78435111688563e-06,0.692836676217765,0.753295128939828,0.737419945105215,0.710348554444745,0.737419945105215,0.692836676217765,0.71443344659477,0.5,0.346418338108883,0.469770773638968,0.723065902578797,13961,0.723065902578797
"17","angryHaha","0",0.714469914040115,0.428939828080229,0.703714306891544,0.725046105218911,0.5,1.33058810107283e-290,1.46676093261808e-09,0.675644699140401,0.753295128939828,0.732525629077353,0.699016219090667,0.732525629077353,0.675644699140401,0.70293635415114,0.5,0.337822349570201,0.461174785100287,0.714469914040115,13961,0.714469914040115
"18","angryHaha","0",0.724355300859599,0.448710601719198,0.713708768942961,0.734814129238721,0.5,7.92565287089152e-319,9.62357907256544e-13,0.679369627507163,0.769340974212034,0.746536523929471,0.70583596214511,0.746536523929471,0.679369627507163,0.711371137113711,0.5,0.339684813753582,0.455014326647564,0.724355300859599,13961,0.724355300859599
"19","angryHaha","0",0.72621776504298,0.45243553008596,0.715592495900201,0.736653768887099,0.5,4.94065645841247e-324,1.11380314058304e-07,0.692836676217765,0.759598853868195,0.742400982499232,0.712060166532366,0.742400982499232,0.692836676217765,0.716763005780347,0.5,0.346418338108883,0.466618911174785,0.72621776504298,13961,0.72621776504298
"20","angryHaha","0",0.717908309455587,0.435816618911175,0.707189926347586,0.728444394291975,0.5,2.97027055563821e-300,3.89077971506178e-12,0.673638968481375,0.762177650429799,0.739075762338887,0.70018425901553,0.739075762338887,0.673638968481375,0.704841852795683,0.5,0.336819484240688,0.455730659025788,0.717908309455587,13961,0.717908309455587
"21","angryWow","0",0.712542889820816,0.425085779641632,0.700084791193076,0.724764114352003,0.5,5.89204364197249e-215,1.70437173569614e-05,0.680518490278307,0.744567289363324,0.727087576374745,0.699749193837334,0.727087576374745,0.680518490278307,0.703032690035447,0.5,0.340259245139154,0.467975600457491,0.712542889820816,10492,0.712542889820816
"22","angryWow","0",0.709302325581395,0.418604651162791,0.69680525698547,0.721566139461665,0.5,2.61381609413157e-208,3.27922931384777e-12,0.657262676324819,0.761341974837972,0.733617021276596,0.68957182320442,0.733617021276596,0.657262676324819,0.693344057912729,0.5,0.328631338162409,0.447960350743424,0.709302325581395,10492,0.709302325581395
"23","angryWow","0",0.702058711399161,0.404117422798323,0.689477263906424,0.714414993000186,0.5,7.19949057793715e-194,1.46258990870706e-08,0.659168890583302,0.744948532215021,0.721017514595496,0.686095505617978,0.721017514595496,0.659168890583302,0.688707428799044,0.5,0.329584445291651,0.45711017918414,0.702058711399161,10492,0.702058711399161
"24","angryWow","0",0.702058711399161,0.404117422798323,0.689477263906424,0.714414993000186,0.5,7.19949057793715e-194,1.32112177448787e-10,0.653450247807854,0.750667174990469,0.723817567567568,0.684155663655316,0.723817567567568,0.653450247807854,0.686836305349629,0.5,0.326725123903927,0.451391536408692,0.702058711399161,10492,0.702058711399161
