"","Organization","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"18","BBC","wowData","0",0.72742474916388,0.454849498327759,0.689833970646852,0.762752038520124,0.5,7.72127780693913e-30,0.210126846669274,0.698996655518395,0.755852842809365,0.74113475177305,0.715189873417721,0.74113475177305,0.698996655518395,0.719449225473322,0.5,0.349498327759197,0.471571906354515,0.72742474916388,1198,0.72742474916388
"19","BBC","wowData","0",0.693979933110368,0.387959866220736,0.655315415642782,0.73071573489519,0.5,5.38689606678425e-22,0.882465683286275,0.698996655518395,0.688963210702341,0.69205298013245,0.695945945945946,0.69205298013245,0.698996655518395,0.695507487520799,0.5,0.349498327759197,0.505016722408027,0.693979933110368,1198,0.693979933110368
"20","BBC","wowData","0",0.688963210702341,0.377926421404682,0.650157796952791,0.725890028481357,0.5,6.14983878571955e-21,0.607766031407854,0.702341137123746,0.675585284280936,0.684039087947883,0.694158075601375,0.684039087947883,0.702341137123746,0.693069306930693,0.5,0.351170568561873,0.513377926421405,0.688963210702341,1198,0.688963210702341
"21","Cnn","wowData","0",0.764444444444444,0.528888888888889,0.735325402428153,0.791820724624538,0.5,1.26554611974691e-59,0.37194089877204,0.748888888888889,0.78,0.772935779816514,0.756465517241379,0.772935779816514,0.748888888888889,0.760722347629797,0.5,0.374444444444444,0.484444444444444,0.764444444444444,1803,0.764444444444444
"22","Cnn","wowData","0",0.735555555555556,0.471111111111111,0.705445260564406,0.764114959332175,0.5,3.38425090301815e-47,0.0232857825585383,0.775555555555556,0.695555555555556,0.718106995884774,0.756038647342995,0.718106995884774,0.775555555555556,0.745726495726496,0.5,0.387777777777778,0.54,0.735555555555556,1803,0.735555555555556
"23","Cnn","wowData","0",0.757777777777778,0.515555555555556,0.728415000649545,0.785442137222258,0.5,1.3333130620937e-56,0.00825609352575967,0.713333333333333,0.802222222222222,0.782926829268293,0.736734693877551,0.782926829268293,0.713333333333333,0.746511627906977,0.5,0.356666666666667,0.455555555555556,0.757777777777778,1803,0.757777777777778
"24","Cnn","wowData","0",0.753333333333333,0.506666666666667,0.723813181069446,0.781184607173465,0.5,1.22343744476393e-54,0.0933685481325337,0.782222222222222,0.724444444444444,0.739495798319328,0.768867924528302,0.739495798319328,0.782222222222222,0.760259179265659,0.5,0.391111111111111,0.528888888888889,0.753333333333333,1803,0.753333333333333
"25","Cnn","wowData","0",0.756666666666667,0.513333333333333,0.727264166301276,0.784378135877092,0.5,4.16389384638708e-56,0.0789319262063327,0.786666666666667,0.726666666666667,0.742138364779874,0.773049645390071,0.742138364779874,0.786666666666667,0.763754045307443,0.5,0.393333333333333,0.53,0.756666666666667,1803,0.756666666666667
"26","Cnn","wowData","0",0.754444444444444,0.508888888888889,0.724963257669784,0.782249369680522,0.5,3.98856254014548e-55,0.0221907163701582,0.793333333333333,0.715555555555556,0.736082474226804,0.775903614457831,0.736082474226804,0.793333333333333,0.763636363636364,0.5,0.396666666666667,0.538888888888889,0.754444444444444,1803,0.754444444444444
"27","Cnn","wowData","0",0.731111111111111,0.462222222222222,0.700862789935592,0.759837999188515,0.5,1.95023504800882e-45,0.0121755561355778,0.775555555555556,0.686666666666667,0.712244897959184,0.753658536585366,0.712244897959184,0.775555555555556,0.742553191489362,0.5,0.387777777777778,0.544444444444444,0.731111111111111,1803,0.731111111111111
