"","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"36","sadData","0",0.766360617308068,0.532721234616136,0.758040140822092,0.77452932649462,0.5,0,4.53100089755185e-14,0.802500488376636,0.7302207462395,0.74840590271452,0.787113076437145,0.74840590271452,0.802500488376636,0.774509803921569,0.5,0.401250244188318,0.536139871068568,0.766360617308068,20479,0.766360617308068
"37","sadData","0",0.752588396171127,0.505176792342254,0.744109910955397,0.760922982978809,0.5,0,2.04166623364443e-10,0.78394217620629,0.721234616135964,0.737683823529412,0.769487286369321,0.737683823529412,0.78394217620629,0.760109858888152,0.5,0.391971088103145,0.531353780035163,0.752588396171127,20479,0.752588396171127
"38","sadData","0",0.763625708146122,0.527251416292245,0.755272912626273,0.77182829937618,0.5,0,1.74124014087409e-12,0.797616722016019,0.729634694276226,0.746844704591183,0.782854747432404,0.746844704591183,0.797616722016019,0.771396183638768,0.5,0.398808361008009,0.533991013869896,0.763625708146122,20479,0.763625708146122
"39","sadData","0",0.758839617112717,0.517679234225435,0.750431395901165,0.767100368822154,0.5,0,2.02342736861641e-10,0.789802695839031,0.727876538386404,0.743745401030169,0.775926697209496,0.743745401030169,0.789802695839031,0.76608242539081,0.5,0.394901347919516,0.530963078726314,0.758839617112717,20479,0.758839617112717
"40","sadData","0",0.766165266653643,0.532330533307287,0.757842465887687,0.774336411770506,0.5,0,9.48372463617225e-15,0.803281890994335,0.729048642312952,0.747772322240407,0.787507913061827,0.747772322240407,0.803281890994335,0.774533810510454,0.5,0.401640945497167,0.537116624340692,0.766165266653643,20479,0.766165266653643
"41","angryData","0",0.702934156956339,0.405868313912677,0.695354286087163,0.710431066865777,0.5,0,8.42620569233818e-64,0.625859890495578,0.7800084234171,0.739917012448133,0.675830190974334,0.739917012448133,0.625859890495578,0.678125950714938,0.5,0.312929945247789,0.422925733539239,0.702934156956339,28492,0.702934156956339
"42","angryData","0",0.703004352098835,0.406008704197669,0.695424978769525,0.710500735737368,0.5,0,2.89939923043984e-87,0.612522813421311,0.793485890776358,0.747857387727117,0.671897289586305,0.747857387727117,0.612522813421311,0.673458362275218,0.5,0.306261406710656,0.409518461322476,0.703004352098835,28492,0.703004352098835
"43","angryData","0",0.703214937526323,0.406429875052646,0.695637058088568,0.710709741079928,0.5,0,3.11421350538732e-73,0.620525059665871,0.785904815386775,0.743481917577796,0.674376581134803,0.743481917577796,0.620525059665871,0.676461585552495,0.5,0.310262529832936,0.417310122139548,0.703214937526323,28492,0.703214937526323
"44","angryData","0",0.696406008704198,0.392812017408395,0.688780787210681,0.703950941039895,0.5,0,1.40949971544067e-76,0.610838130001404,0.781973887406991,0.736957994579946,0.667705586190362,0.736957994579946,0.610838130001404,0.667997236508789,0.5,0.305419065000702,0.414432121297206,0.696406008704198,28492,0.696406008704198
"45","angryData","0",0.698933033834059,0.397866067668117,0.691325152171798,0.706459592135368,0.5,0,1.95078659653565e-70,0.617296083111049,0.780569984557069,0.737751677852349,0.671011344436399,0.737751677852349,0.617296083111049,0.672169991592143,0.5,0.308648041555524,0.41836304927699,0.698933033834059,28492,0.698933033834059
"46","angryData","0",0.701740839533904,0.403481679067808,0.694152542875514,0.709246663653634,0.5,0,1.94778876981376e-75,0.617576863681033,0.785904815386775,0.742572586090479,0.67267483777938,0.742572586090479,0.617576863681033,0.674331263892082,0.5,0.308788431840517,0.415836024147129,0.701740839533904,28492,0.701740839533904
"47","angryData","0",0.702372595816369,0.404745191632739,0.694788752253752,0.709873708266006,0.5,0,1.13665369846042e-61,0.626561841920539,0.7781833497122,0.738540460036406,0.675728392051688,0.738540460036406,0.626561841920539,0.677958377639374,0.5,0.31328092096027,0.42418924610417,0.70237259581637,28492,0.702372595816369
"48","angryData","0",0.702162010388881,0.404324020777762,0.694576680558387,0.709664695298219,0.5,0,1.465919995407e-74,0.618559595675979,0.785764425101783,0.742751180040458,0.67320182824152,0.742751180040458,0.618559595675979,0.674990425124473,0.5,0.30927979783799,0.416397585287098,0.702162010388881,28492,0.702162010388881
"49","angryData","0",0.700266741541485,0.400533483082971,0.692668120796597,0.707783493074398,0.5,0,7.35293289267185e-71,0.618559595675979,0.781973887406991,0.739385802987078,0.672137082176904,0.739385802987078,0.618559595675979,0.673597309279927,0.5,0.30927979783799,0.418292854134494,0.700266741541485,28492,0.700266741541485
"50","angryData","0",0.702021620103889,0.404043240207778,0.694435300485441,0.709525352262183,0.5,0,1.25211507500019e-64,0.624315597360663,0.779727642847115,0.739195478723404,0.674848116646416,0.739195478723404,0.624315597360663,0.676916051449882,0.5,0.312157798680331,0.422293977256774,0.702021620103889,28492,0.702021620103889
